,Customer_Name,Image,Personality_traits
0,Aamir Khan,https://www.celebrities-galore.com/celebrities-photos/aamir-khan.jpg,"['popular', 'dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
1,Akshay Kumar,https://www.celebrities-galore.com/celebrities-photos/akshay-kumar.jpg,"['winning', 'understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
3,Amjad Khan,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
4,Amitabh Bachchan,https://www.celebrities-galore.com/celebrities-photos/amitabh-bachchan.jpg,"['impressive', 'upright', 'elegant', 'charismatic', 'kind', 'aloof', 'capable', 'kind', 'sympathetic', 'helpful', 'compassionate', 'calm', 'sensitive', 'emotional', 'benevolent', 'leader']"
5,Amol Palekar,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
6,Abhay Deol,NONE,"['understanding', 'balanced', 'romantic', 'faithful', 'protective', 'generous', 'logical', 'maternal']"
7,Akshaye Khanna,NONE,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
8,Arshad Warsi,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
10,Atul Kulkarni,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
13,Aruna Irani,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
14,Annu Kapoor,NONE,"['dynamic', 'efficient', 'capable', 'dignified', 'caring', 'cheerful', 'leader', 'original', 'creative', 'aggressive', 'confident']"
17,Anupam Kher,NONE,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
18,Anil Kapoor,https://www.celebrities-galore.com/celebrities-photos/anil-kapoor.jpg,"['strong', 'impressive', 'kind', 'generous', 'kind', 'strong', 'egocentric', 'spontaneous', 'warm']"
19,Amrish Puri,https://www.celebrities-galore.com/celebrities-photos/amrish-puri.jpg,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
22,Balraj Sahni,NONE,"['sensitive', 'intuitive', 'gentle', 'neat', 'clean', 'soft', 'daring', 'exciting', 'perceptive', 'open', 'gentle', 'patient', 'understanding', 'sensitive', 'strong']"
